mans,rus,note
а̄ӈкв,самка лося,
а̄ӈква̄ги,двоюродная сестра,по материнской линии
а̄ӈквал,столб,
а̄ӈквал,пень,
а̄ӈквата̄луӈкве,взглянуть,
а̄ӈквата̄луӈкве,посмотреть,
а̄ӈкватаӈкве,взглянуть,
а̄ӈквпыг,двоюродный брат,по материнской линии
а̄ӈха,куропатка,
а̄ӈхвуӈкве,раздеть,
а̄ӈхвуӈкве,снять одежду,
а̄ӈхвыглаӈкве,раздевать,
а̄ӈхвыглаӈкве,снимать одежду,
а̄ви,дверь,
а̄ви со̄пла,косяк,двери
а̄ви сӯнт,порог,двери
а̄ви ха̄п,порог,двери
а̄врах,обрыв,
а̄врах,крутой берег,
а̄врахыӈ,обрывистый,
а̄ги,дочь,
а̄ги,девушка,
а̄гирись,девочка,
а̄гирись,дочка,
а̄гм,болезнь,
а̄гмалтаӈкве,одеревенеть,
а̄гмхарыӈ,хилый,
а̄гмхарыӈ,чахлый,
а̄гмыӈ,больной,
агт,вера,
агтнэ,верящий,
агтта̄л,неверящий,
агтта̄л,недоверчиво,
агтуӈкве,верить,
агтыгла̄луӈкве,убеждаться,
агылттаӈкве,убедить,
а̄йт,рвота,
а̄йт,тошнота,
айнут,напиток,
айтуӈкве,напоить,
айхатуӈкве,захлебнуться,
айхатыглаӈкве,захлёбываться,
а̄кань,кукла,
а̄кар,породистая собака,
а̄кве̄ква,бабушка,
а̄кве̄ква,старуха,
аканьлахтуӈкве,играть в куклы,
акв,одинакв хум один мужчина,
акв-па̄лн,прочь,
аква,один,
акваг,всегда,
акваг,повсюду,
аквал-аквал,по одному,
акван-аняктахтуӈкве,столпиться,
акван-аняктахтуӈкве,сгрудиться,
акван-атуӈкве,собрать,
акван-вониртаӈкве,сощурить,
акван-вониртаӈкве,зажмурить,
акван-консуӈкве,сгрести,
акван-лаквтуӈкве,сдвинуть,
акван-ле̄ӈктхатуӈкве,столкнуться,
акван-ляпамаӈкве,сблизиться,
акван-ляпамтаӈкве,приблизить,
акван-мо̄ртуӈкве,сравнить,
акван-нарумтаӈкве,столкнуть,
акван-ня̄влуӈкве,согнать,
акван-о̄лтуӈкве,соединить,
акван-о̄лтхатуӈкве,соединиться,
акван-пасиртаӈкве,стиснуть,
акван-патуӈкве,слиться,о реках
акван-пе̄руӈкве,скрутить,
акван-пинтлантаӈкве,складывать,
акван-пинтлуӈкве,сложить,о вещах
